pathogen_nm	pathogenType_nm	subtype	latin name	alt_latin_names	alt_common_names	ph_common_names	crops	taxonomy	notes	urls	biological_cure
28 spotted beetle	Insect		Henosepilachna vigintioctopunctata		Hadda beetle		Tomato,Eggplant, cucurbits, brassicas, legumes, papaya 	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Coccinellidae,Genus:Henosepilachna,Species:H .vigintioctopunctata		http://www.plantdoctor.eastwestseed.com/insect-pests/28-spotted-beetle	
African armyworm	Insect	Moth	Spodoptera exempta				 Corn,Sorghum,Rice,Millet,Grasses,Wheat Oats 				
Alfalfa mosaic virus	Virus		Alfalfa mosaic virus				Carrot	(unranked):Virus,Realm:Riboviria,Kingdom:Orthornavirae,Phylum:Kitrinoviricota,Class:Alsuviricetes,Order:Martellivirales,Family:Bromoviridae,Genus:Alfamovirus			
Alternaria	Fungus		Alternaria				Broccoli,Cabbage,Carrot,Cauliflower,Cotton,Cruciferae,Cutflower,Melon,Tobacco,Tomato,Watermelon	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Alternaria fruit rot	Fungus						Eggplant, Beans, Pepper,Cabbage, Chinese cabbage, Cucumber, Tomato	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Coccinellidae,Genus:Henosepilachna,Species:H .vigintioctopunctata			
Alternaria leaf blight	Fungus		Alternaria alternata				Cutflower				
Alternaria leaf spot	Fungus		Alternaria radicina		Alternaria leaf blight,Carrot leaf spot,Carrot leaf blight,Black Leaf spot,Black leaf spot of cabbage		Carrots,Brassicas,Cabbage,Cauliflower,Kale,Brussel sprouts,Broccoli.	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria,species:{radicina, dauci,alternata,brassicicola}	Many species, 2 common names: Alternaria leaf blight,Carrot leaf spot,Carrot leaf blight		
Anatrachyntis	Insect	Moth	Anatrachyntis simplex				Palms,Pineapple,Okra	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Cosmopterigidae,SubFamily:Cosmopteriginae,Genus:Anatrachyntis			
Annual broadleaf weeds	Broadleaf Weed						Banana,Cacao,Citrus,Coconut,Coffee,Corn,Mango,Non-crop areas,Oil palm,Onion,Pineapple,Potato,Rice,Rubber,Sorghum,Soyabeans,Sugarcane,Tomato,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Spermatophytes,Clade:Angiosperms			
Annual grasses	Grass Weed						Banana,Cacao,Citrus,Coconut,Coffee,Corn,Cotton,Grass,Lawns,Mango,Non-crop areas,Oil palm,Okra,Onion,Pineapple,Potato,Rice,Rubber,Sorghum,Soyabeans,Sugarcane,Tomato,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Clade:Graminid clade,Family:Poaceae			
Annual sedges	Grass Weed						Onion,Rice	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Cyperaceae			
Annual weeds	Weed						Banana,Beans,Cacao,Carrot,Celery,Citrus,Coconut,Coffee,Corn,Garlic,Mango,Non-crop areas,Oil palm,Onion,Peanut,peas,Pineapple,Potato,Rubber,Soyabeans,Sugarcane,Tobacco,Vegetables				
Anthracnose fruit rot of banana	Fungus		Colletotrichum musae 				Banana				
Anthracnose fruit rot	Fungus		Colletotrichum gigasporum				Beans,Bell pepper,Chili,Cucumber,Cucurbits,Eggplant,Mango,Melon,Mungbeans,Mungo,Ornamentals,Peas,Pepper,Squash,Tomato,Watermelon		C. arxii, C. magnisporum, C. pseudomajus, C. radicis and C. vietnamense.		
Anthracnose leaf blight	Fungus		Glomerella graminicola				Corn	Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,			
Anthracnose leaf spot	Fungus		Colletotrichum gloeosporioides				Bittergourd	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Affects many crops		
Anthracnose: Pepper	Fungus		Colletotrichum capsici	Colletotrichum gloeosporioides,Colletotrichum acutatum			Pepper,Yams,Eggplant	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum			
Ants	Insect						Banana,Corn,Okra,Pineapple	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hymenoptera,Infraorder:Aculeata,Superfamily:Formicoidea,Latreille, 1809[2],Family:Formicidae			
Aphids	Insect			Eukaryota			Abaca,Banana,Beans,Bittergourd,Cabbage,Cacao,Chinese cabbage,Citrus,Cocoa,Corn,Cotton,Cowpea,Cowpea,Beans,Cruciferae,Cucurbits,Eggplant,Fruit trees,Legumes,Legumes,Mongo beans,Soyabeans,Beans,Mango,Melon,Mungbeans,Okra,Ornamentals,Pechay,Pepper,Potato,Rice,Sitao,Soyabeans,Soyabeans,Beans,Stringbeans,Sweet potato,Tobacco,Tomato,Watermelon,White potato	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Suborder:Sternorrhyncha,Infraorder:Aphidomorpha,Superfamily:Aphidoidea			
Arthropods	Insect						-	"Domain:Eukaryota,Kingdom:	Animalia,Division:Eumetazoa,Clade_2:ParaHoxozoa,Phylum:Arthropoda"	Have  no internal spine, but hard exoskeletons and jointed appendages. Many familiar species belong to the phylum Arthropoda: insects, spiders, scorpions, centipedes, and millipedes on land; crabs, crayfish, shrimp, lobsters, and barnacles		
Asian corn borer	Insect	Moth	Ostrinia furnacalis	Arthropoda			Corn	"Domain:Eukaryota,Kingdom:	Animalia,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Ostrinia"			
Asparagus blight 	Fungus		Cercospora asparagi				Asparagus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora			
Aster yellows	Phytoplasma		Aster yellows phytoplasma				Carrot				
Avacado Anthracnose	Fungus		Glomerella cingulata		Black Spot		Avacado	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum			
Bacteria	Bacteria		Bacteria	Lepidoptera			Banana,Beans,Pepper,Pineapple,Rice,Tomato	Domain:Bacteria			
Bacterial blight	Bacteria		Xanthomonas campestris pv. Vesicatoria	Cosmopterigidae			Beans,Pepper,Rice	Kingdom:Monera,Phylum:Proteobacteria,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas,Species:X. axonopodis	Almost all bacterial spots and blights of leaves, stems, and fruits are caused by bacteria in the genera Pseudomonas and Xanthomonas.		
Bacterial blight of cassava 	Bacteria		Xanthomonas axonopodis pv. manihotis								
Bacterial blight of common beans 	Bacteria		Xanthomonas axonopodis pv. phaseoli								
Bacterial blight of rice	Bacteria		Xanthomonas oryzae pv. Oryzae				Rice				
Bacterial bulb rot	Bacteria		Multiple bacterial pathogens				Onion,Garlic 				
Bacterial crown rot	Bacteria		Erwinia papayae		Bacterial canker		Papaya	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Erwiniaceae,Genus:Erwinia			
Bacterial fruit rot	Fungus		Ralstonia solanacearum	Cosmopteriginae	Moko		Banana	Kingdom:MoneraPhylum:ProteobacteriaClass:BetaproteobacteriaOrder:BurkholderialesFamily:BurkholderiaceaeGenus:Ralstonia			
Bacterial heart rot	Bacteria		Dickeya dadantii	Erwina chrysanthem			Pineapple	Domain:Bacteria ,Kingdom:Pseudomonadota,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Pectobacteriaceae,Genus:Dickeya			
Bacterial leaf blight	Bacteria		Xanthomonas oryzae		Bacterial leaf streak		Rice	Domain:Bacteria ,Kingdom:Pseudomonadota,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas			
Bacterial leaf blight of Carrot	Bacteria		Xanthomonas campestris				Carrot	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas			
Bacterial leaf streak	Bacteria		Xanthomonas vasicola				Corn	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas,Species:X. vasicola			
Bacterial panicle blight	Bacteria		Burkholderia glumae								
Bacterial rot	Bacteria		Dickeya sp.				Pineapple 	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Pectobacteriaceae,Genus:Dickeya			
Bacterial soft rot	Bacteria		Erwinia chrysanthemi,Pectobacterium carotovorum				Carrot	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Pectobacteriaceae,Genus:Pectobacterium			
Bacterial specks	Bacteria		Pseudomonas syringae				Tomato	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Pseudomonadales,Family:Pseudomonadaceae,Genus:Pseudomonas			
Bacterial spot	Fungus		Xanthomonas				Pepper,Tomato	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas	The disease is caused by four species of Xanthomonas (X. euvesicatoria, X. gardneri, X. perforans, and X. vesicatoria)		
Bacterial wilt	Bacteria		Erwinia tracheiphila				Banana,Tomato	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Erwiniaceae,Genus:Erwinia,Species:E. tracheiphila			
Banana anthracnose	Fungus		Colletotrichum musae				Banana	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum			
Banana flower thrips	Insect		Thrips hawaiiensis		Banana blossom thrips		Banana	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Thysanoptera,Family:Thripidae,Genus:Thrips			
Banana freckle disease	Fungus		Guignardia musae	Phyllosticta musarum			Banana	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Botryosphaeriales,Family:Botryosphaeriaceae,Genus:Guignardia,Species:G. musae  			
Banana rust thrips	Insect		Chaetanaphothrips signipennis		Red rust thrips		Banana	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Ubosphylum:Hexapoda,Class:Insecta,Order:Thysanoptera,Family:Thripidae,Genus:Chaetanaphothrips			
Banded leaf and sheath blight	Fungus		Rhizoctonia solani				Corn	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Agaricomycetes,Order:Cantharellales,Family:Ceratobasidiaceae,Genus:Rhizoctonia,Species:R. solani			
Bark borer	Insect	Moth	Prasinoxena				Coffee,Lanzones	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Superfamily:Pyraloidea,Family:Pyralidae,Subfamily:Galleriinae,Tribe:Tirathabini,Genus:Prasinoxena			
Barnyard grass	Grass Weed		Echinochloa colonum		Awnless barnyard grass,Cockspur grass,Common barnyard grass,Deccan grass,Japanese millet,Jharua,Jungle rice,Water grass,Wild rice		Onion,Rice	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Poaceae,Subfamily:Panicoideae,Genus:Echinochloa,Species:E. crus-galli	"barnyard grass"" (which may refer to any species of Echinochloa or the genus as a whole however).Panicum (panicgrass)"		
Basal rot	Fungus		Phytophthora palmivora				Onion,Papaya	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Phytophthora			
Baterial crown rot	Fungus		Erwinia papayae		Papaya dieback		Papaya	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Erwiniaceae,Genus:Erwinia			
Bean Anthracnose	Fungus		Colletotrichum lindemuthianum.				Beans	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Subphylum:Pezizomycotina,Class:Sordariomycetes,Subclass:Sordariomycetidae,Order:Incertae sedis,Genus:Glomerellaceae			
Bean fly	Insect		Ophiomyia phaseoli				Beans,Cowpea,Legumes,Mango,Mongo beans,Mungbeans,Sitao,Soyabeans,Stringbeans	Kingdom:Animalia,Phylum:Arthropoda,Subphylum:Hexapoda,Class:Insecta,Infraclass:Neoptera,Subclass:Pterygota,Order:Diptera,Suborder:Brachycera,Infraorder:Acalyptratae,Superfamily:Opomyzoidea,Family:Agromyzidae,Subfamily:Agromyzinae,Genus:Ophiomyia			
Bean leaf beetle	Insect		Cerotoma trifurcata				Beans	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Chrysomelidae,Genus:Cerotoma	primary vector for bean pod mottle virus		
Bean Leaffolder	Insect		Lamprosema indicata				Soybeans	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Tribe:Hydririni,Genus:Lamprosema			
Bean lycaenid	Insect	Moth	Euchrysops cnejus				Beans,Soybeans	Kingdom:Animalia,Phylum:Arthropoda,Subphylum:Hexapoda,Class:Insecta,Infraclass:Neoptera,Subclass:Pterygota,Order:Lepidoptera,Superfamily:Papilionoidea,Family:Lycaenidae,Subfamily:Polyommatinae,Tribe:Polyommatini,Genus:Euchrysops			
Bean pod borer	Insect		Maruca vitrata		Mung Moth		Beans,Cacao,Cocoa,Cowpea,Eggplant,Legumes,Mango,Mongo beans,Mungbeans,Sitao,Soyabeans,Stringbeans	Domain:Eukaryota,Kingdom:Animalia,Phylum:  Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Maruca			
Bean rust	Fungus		Uromyces appendiculatus				Beans	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Pucciniomycetes,Order:Pucciniales,Family:Pucciniaceae,Genus:Uromyces			
Beet armyworm	Insect		Spodoptera exigua				Onion	"Domain:Eukaryota,Kingdom:	Animalia,Class:Insecta,Order:Lepidoptera,SuperFamily:Noctuoidea,Family:Noctuidae,Genus:Spodoptera"			
Beetles	Insect		Order:Coleoptera				Grapes,Tomato,Watermelon	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Clade:Coleopterida,Order:Coleoptera,SubOrders:[Adephaga,Archostemata,Myxophaga,Polyphaga,Protocoleoptera]			
Bermuda grass	Grass Weed		Cynodon dactylon				Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Poaceae,Genus:Cynodon,Species:C. dactylon			
Berry borer	Insect		Hypothenemus hampei				Lanzones,Coffee	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Curculionidae,Genus:Hypothenemus			
Bitter rot 	Fungus		Colletotrichum gloeosporioides		Anthracnose fruit rot,Mango anthracnose		Mango	Kingdom:FungiPhylum:AscomycotaClass:SordariomycetesOrder:Incertae sedisFamily:GlomerellaceaeGenus:Colletotrichum			
Black borer	Insect		Xylosandrus crassiusculus		Asian ambrosia beetle		Mango	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Curculionidae,Genus:Xylosandrus			
Black leg	Fungus		Leptosphaeria maculans				Cabbage	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Leptosphaeriaceae,Genus:Leptosphaeria			
Black pod 	Fungus		Phytophthora palmivora				Cacao	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Phytophthora			
Black root rot of Carrot	Fungus		Thielaviopsis basicola,Chalara elegans [synanamorph]				Carrot	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Microascales,Family:Ceratocystidaceae,Genus:Thielaviopsis			
Black root rot of Pineapple	Fungus		Thielaviopsis paradoxa	Thielaviopsis basicola			Pineapple	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Microascales,Family:Ceratocystidaceae,Genus:Thielaviopsis			
Black rot	Fungus		Botryosphaeria obtusa				Apple,Citrus,Cruciferae,Grape,Orchids,Pear,Potato,Quince,Ornamentals,Pineapple,Sweet potato	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Botryosphaeriales,Family:Botryosphaeriaceae,Genus:Botryosphaeria	Apple:(Botryosphaeria obtusa or Physalospora cydoniae),Citrus: Alternaria citri,Cruciferae:Xanthomonas campestris,Grape:Guignardia bidwellii,Orchids,Pear,Potato:Erwinia atroseptica,Quince,Ornamentals,Pineapple,sweet potato:Ceratostomella fimbriata		
Black rot (black carrot root dieback)	Fungus		Alternaria radicina= Stemphylium radicinum				Carrot	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Black sigatoka	Fungus		Pseudocercospora fijiensis		Black leaf streak		Citrus,Ornamentals,Orchids,Rice	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Mycosphaerella			
Black spot	Fungus		Diplocarpon rosae				Citrus,Ornamentals,Orchids,Rice,grapes	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Drepanopezizaceae,Genus:Diplocarpon			
Black stripe	Fungus		Phytophthora palmivora				Rubber	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Phytophthora			
Blossom blight	Fungus		Monilinia laxa				apricots, cherries, nectarines, peaches, plums and almonds	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Monilinia			
Blosson thrips	Insect		Frankliniella schultzei				Banana,Mango,Watermelon	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Thysanoptera,Family:Thripidae,Genus:Frankliniella			
Blue mold	Fungus		Penicillium expansum				Apples,Pears,Cherries,Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Eurotiomycetes,Order:Eurotiales,Family:Aspergillaceae,Genus:Penicillium			
Blue Mold of Tobacco	Fungus		Peronospora hyoscyami f.sp. tabacina				Tobacco	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Peronospora			
Blue mold rot (blue green mold)	Fungus		Penicillium expansum				Carrot	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Eurotiomycetes,Order:Eurotiales,Family:Aspergillaceae,Genus:Penicillium			
Boll weevil	Insect		Anthonomus grandis				Cotton	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Curculionidae,Genus:Anthonomus,Species:A. grandis			
Bollworm	Insect	Moth	Helicoverpa armigera				Cotton	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Superfamily:Noctuoidea,Family:Noctuidae,Genus:Helicoverpa			
Botrytis	Fungus		Botrytis spp.				Beans,Garlic,Leeks,Legumes,Onion,Potato,Shallots,Tomato	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Botrytis Blight	Fungus		Botrytis squamosa	B cinera	Gray mold,Leaf blast,Botrytis leaf blight,Ornamental blight		Onion,Ornamentals,Cutflowers	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Botrytis leaf spot: Beans	Fungus		Botrytis fabae, Botrytis cinerea		Botrytis leaf blight		Beans	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Botrytis leaf spot: Garlic Onion	Fungus		Botrytis squamosa		Botrytis leaf blight		Garlic,Onion	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Botrytis leaf spot: Legumes	Fungus		Botrytis,B. pseudocinerea,B.fabiopsis,B.euroamericana,B.medusae		Botrytis leaf blight		Legumes	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Botrytis Neck and Bulb Rot	Fungus		Botrytis aclada, Botrytis allii, Botrytis porri		Botrytis neck rot,Botrytis bulb rot		Garlic,Onion,Pepper	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Botrytis rot	Fungus		Botrytis cinerea		Gray mold		Beans,Legumes,Strawberry	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Broadleaf weeds	Broadleaf Weed						Banana,Banana (Cavendish),Cacao,Citrus,Coconut,Coffee,Corn,Cotton,Grass,Lawns,Mango,Non-crop areas,Oil palm,Okra,Onion,Pineapple,Potato,Rice,Rubber,Sorghum,Soyabeans,Sugarcane,Tobacco,Tomato,Turf grass,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Spermatophytes,Clade:Angiosperms			
Brown bark rot	Fungus		Phellinus noxium				Cacao	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Agaricomycetes,Order:Hymenochaetales,Family:Hymenochaetaceae,Genus:Pyrrhoderma,Species:P. noxium			
Brown eye spot	Fungus				Cercospora leaf spot 		Coffee,Tobacco	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora			
Brown leafhopper	Insect		Orosius.orientalis				Coffee,Tobacco	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Suborder:Auchenorrhyncha,Family:Cicadellidae,Genus:Orosius,Species:O. orientalis			
Brown planthopper	Insect						Rice	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Suborder:Auchenorrhyncha,Infraorder:Fulgoromorpha,Family:Delphacidae,Subfamily:Delphacinae,Tribe:Delphacini,Genus:Nilaparvata,Species:N. lugens			
Brown rot (Phoma disease)	Fungus		Leptosphaeria libanotis,Phoma rostrupii [anamorph]				Carrot	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Leptosphaeriaceae,Genus:Leptosphaeria			
Buckshot rot	Fungus		Typhula spp.				Carrot				
Bugs	Insect						Banana,Beans,Citrus,Coffee,Eggplant,Fruit trees,Grapes,Legumes,Mango,Ornamentals,Pineapple,Rice,Soyabeans,Sugarcane	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Clade:Pancrustacea,Subphylum:Hexapoda,Class:Insecta			
Burrowing nematode	Nematode		Radopholus similis				Banana,Pineapple	Domain:Eukaryota,Kingdom:Animalia,Phylum:Nematoda,Class:Secernentea,Order:Tylenchida,Family:Pratylenchidae,Genus:Radopholus			
Bush Snail	Mollusc		Fruticicola fruticum				Potted plants	Domain:Eukaryota,Kingdom:Animalia,Phylum:Mollusca,Class:Gastropoda,Order:Stylommatophora,Family:Camaenidae,Subfamily:Bradybaeninae,Tribe:Bradybaenini,Genus:Fruticicola			
Buttonweed	Fungus		Borreria latifolia				Corn	Domain:Eukaryota,Kingdom:Plantae,Phylum:Spermatophyta,Subphylum:Angiospermae,Class:Dicotyledonae,Order:Gentianales,Family:Rubiaceae,Genus:Borreria			
Cabbage black leaf spot 	Fungus		Alternaria brassicicola		Black leaf spot		Cabbage	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Cabbage black rot	Fungus		Xanthomonas campestris				Cabbage,Cruficerae	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas			
Cabbage butterfly	Insect		Pieris rapae				Cabbage	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Pieridae,Genus:Pieris			
Cabbage cluster caterpillar	Insect	Moth	Crocidolomia pavonana				Cabbage,Cauliflower,Chinese cabbage,Cruciferae,Mustard,Pechay	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Crocidolomia			
Cabbage moth	Insect	Moth	Trichoplusia ni		Cabbage looper moth,Cabbage worm,Cabbage Looper,Spanworm,Inchworm		Cabbage,Cauliflower,Chinese cabbage,Cruciferae,Mustard,Pechay	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Superfamily:Noctuoidea,Family:Noctuidae,Genus:Trichoplusia			
Cadelle beetle	Insect		Tenebroides mauritanicus				Rice,Wheat,Oats	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Trogossitidae,Genus:Tenebroides			
Calopo	Broadleaf Weed		Calopogonium mucunoides	Calopogonium brachycarpum,Calopogonium orthocarpum,Stenolobium brachycarpum	Wild ground nut		Corn,Banana	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Eudicots,Clade:Rosids,Order:Fabales,Family:Fabaceae,Subfamily:Faboideae,Genus:Calopogonium			
Canker	Fungus		Anthracnose		Anthracnose		Banana,Avocado,Guava,Dragon fruit,Durian,Beans,Bell pepper,Bittergourd,Cantaloupe,Chili pepper,Citrus,Coffee,Cucumber,Cucurbits,Eggplant,Grapes,Legumes,Mango,Melon,Mungbeans,Oil palm,Onion,Ornamentals,Peas,Pepper,Papaya,Rice,Snap Beans,Squash,Stringbeans,Sweet pepper,Tobacco,Tomato,Watermelon				
